taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
ssp,u333b,Coastal Australian Swiftlet,,,,,,
sp,335,Fork-tailed Swift,,,,,,
ssp,u335,Eastern Fork-tailed Swift,,,,,,
sp,349,Pheasant Coucal,,,,,,
ssp,u349b,Northern Pheasant Coucal,,,,,,
ssp,u349a,Eastern Pheasant Coucal,,,,,,
ssp,u349c,Papuan Pheasant Coucal,,,,,,
sp,347,Eastern Koel,,,,,,
ssp,u347a,South-east Eastern Koel,,,,,,
ssp,u347b,Torresian Eastern Koel,5c,,5c,Non-taxonomic change - taxon_id,,
sp,348,Channel-billed Cuckoo,,,,,,
ssp,u348,Australian Channel-billed Cuckoo,,,,,,
sp,u342,Horsfield's Bronze-Cuckoo,,,,,,
sp,u341,Black-eared Cuckoo,,,,,,
sp,344,Shining Bronze-Cuckoo,,,,,,
ssp,u344a,New Zealand Shining Bronze-Cuckoo,,,,,,
ssp,u344b,Australian Shining Bronze-Cuckoo,,,,,,
sp,345,Little Bronze-Cuckoo,,,,,,
ssp,u345a,Eastern Little Bronze-Cuckoo,,,,,,
ssp,u345b,Western Little Bronze-Cuckoo,,,,,,
ssp,u345c,Gould's Bronze-Cuckoo,,,,,,
sp,u340,Chestnut-breasted Cuckoo,,4a,,,4a,Subspecies lump - allopatric
sp,338,Fan-tailed Cuckoo,,,,,,
ssp,u338,Australian Fan-tailed Cuckoo,,,,,,
sp,339,Brush Cuckoo,,,,,,
ssp,u339,Southern Brush Cuckoo,4b,,4b,Subspecies lump - parapatric,,
sp,u337,Pallid Cuckoo,,,,,,
sp,u336,Oriental Cuckoo,1a,,1a,Species split - allopatric,,
sp,u48,Red-necked Crake,,,,,,
sp,45,Lewin's Rail,,,,,,
ssp,u45a,Tasmanian Lewin's Rail,,,,,,
ssp,u45b,Western Australian Lewin's Rail,,,,,,
ssp,u45c,Eastern Australian Lewin's Rail,,,,,,
sp,47,Chestnut Rail,,,,,,
ssp,u47,Australian Chestnut Rail,,,,,,
sp,u966,Lord Howe Woodhen,,,,,,
sp,46,Buff-banded Rail,,,,,,
ssp,u46a,Cocos Keeling Buff-banded Rail,,,,,,
ssp,u46b,Macquarie Island Buff-banded Rail,,,,,,
ssp,u46c,Australian Buff-banded Rail,,,,,,
ssp,u46d,Coral Sea Buff-banded Rail,3a,,3a,Subspecies split - allopatric,,
sp,u49,Australian Spotted Crake,,,,,,
sp,50,Baillon's Crake,,,,,,
ssp,u50,Torresian Baillon's Crake,,,,,,
sp,u51,Spotless Crake,,4a,,,4a,Subspecies lump - allopatric
sp,53,Pale-vented Bush-hen,,,,,,
ssp,u53,Torresian Pale-vented Bush-hen,,,,,,
sp,768,White-breasted Waterhen,,,,,,
ssp,u768,Eastern White-breasted Waterhen,,,,,,
sp,u52,White-browed Crake,,,,,,
sp,58,Purple Swamphen,,,,,,
ssp,u58a,Western Australian Purple Swamphen,,,,,,
ssp,u58b,Australasian Purple Swamphen,,,,,,
sp,u746,White Gallinule,,,,,,
sp,56,Dusky Moorhen,,,,,,
ssp,u56,Australian Dusky Moorhen,,,,,,
sp,u55,Black-tailed Native-hen,,,,,,
sp,u54,Tasmanian Native-hen,,,,,,
sp,59,Eurasian Coot,,,,,,
ssp,u59,Australian Eurasian Coot,,,,,,
sp,898,Sarus Crane,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u898,Australian Sarus Crane,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u177,Brolga,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u176,Australian Bustard,,,,,,
sp,u927,King Penguin,,,,,,
sp,926,Gentoo Penguin,,,,,,
ssp,u926,Subantarctic Gentoo Penguin,,,,,,
sp,u968,Royal Penguin,,,,,,
sp,u8005,Macaroni Penguin,,,,,,
sp,u3,Eastern Rockhopper Penguin,5c,1a,5c,Non-taxonomic change - taxon_id,1a,Species split - allopatric
sp,u4,Fiordland Penguin,,,,,,
sp,u923,Snares Penguin,,,,,,
sp,5,Little Penguin,,,,,,
ssp,u5,Australian Little Penguin,,,,,,
sp,63,Wilson's Storm-Petrel,,,,,,
ssp,u63a,Antarctic Wilson's Storm-Petrel,,,,,,
ssp,u63b,Subantarctic Wilson's Storm-Petrel,,,,,,
sp,u64,Grey-backed Storm-Petrel,,,,,,
sp,65,White-faced Storm-Petrel,,,,,,
ssp,u65,Australian White-faced Storm-Petrel,,,,,,
sp,944,White-bellied Storm-Petrel,,,,,,
ssp,u944,Tasman White-bellied Storm-Petrel,,,,,,
sp,u5136,New Caledonian Storm-Petrel,,6a,,,6a,New listing - species
sp,66,Black-bellied Storm-Petrel,,,,,,
ssp,u66a,Black-bellied Storm-Petrel (ssp tropica),3c,,3c,Subspecies split - indeterminate/unknown,,
ssp,u66b,Black-bellied Storm-Petrel (ssp melanoleuca),3c,,3c,Subspecies split - indeterminate/unknown,,
sp,u802,Matsudaira's Storm-Petrel,,,,,,
sp,u812,Swinhoe's Storm-Petrel,,,,,,
sp,u973,Northern Royal Albatross,,,,,,
sp,u974,Southern Royal Albatross,,,,,,
sp,u86,Wandering Albatross,,,,,,
sp,846,Antipodean Albatross,,,,,,
ssp,u846b,Eastern Antipodean Albatross,,,,,,
ssp,u846a,Gibson's Albatross,,,,,,
sp,u748,Amsterdam Albatross,,,,,,
sp,u845,Tristan Albatross,,,,,,
sp,u92,Sooty Albatross,,,,,,
sp,u93,Light-mantled Sooty Albatross,,,,,,
sp,u864,Indian Yellow-nosed Albatross,,,,,,
sp,u90,Grey-headed Albatross,,,,,,
sp,u88,Black-browed Albatross,,2b,,,2b,Species lump - parapatric
sp,u859,Campbell Albatross,,2b,,,2b,Species lump - parapatric
sp,931,Buller's Albatross,,,,,,
ssp,u931a,Southern Buller's Albatross,,,,,,
ssp,u931b,Northern Buller's Albatross,,,,,,
sp,u91,Shy Albatross,,2b,,,2b,Species lump - parapatric
sp,u861,White-capped Albatross,,2b,,,2b,Species lump - parapatric
sp,u862,Salvin's Albatross,,,,,,
sp,u937,Northern Giant-Petrel,,,,,,
sp,u929,Southern Giant-Petrel,,,,,,
